,ShoeName,URL,no_colors,price_reduce,price,Category
74,SEASONS Voyage NITRO™ 3 Women's Running ShoesAlpine Snow-Ultra Blue-Yellow Burst,/us/en/pd/seasons-voyage-nitro%E2%84%A2-3-womens-running-shoes/377746?swatch=05&referrer-category=womens-shop-all-womens,5 Colors,-,$140.00,Women
75,ForeverRun NITRO™ Women's Running ShoesPUMA White-Cherry Tomato,/us/en/pd/foreverrun-nitro%E2%84%A2-womens-running-shoes/309758?swatch=01&referrer-category=womens-shop-all-womens,2 Colors,-,$150.00,Women
76,Blacktop Rider Women's SneakersPUMA White-Frosty Pink,/us/en/pd/blacktop-rider-womens-sneakers/395461?swatch=11&referrer-category=womens-shop-all-womens,1 Color,-,$90.00,Women
77,Fuse 2.0 Women's Training ShoesPUMA Black-PUMA White-Dark Coal,/us/en/pd/fuse-2-0-womens-training-shoes/378823?swatch=01&referrer-category=womens-shop-all-womens,1 Color,-,$100.00,Women
78,Clyde OG PUMA 75th Year Anniversary Celebration SneakersPersian Blue-Orange Brick,/us/en/pd/clyde-og-puma-75th-year-anniversary-celebration-sneakers/393326?swatch=01&referrer-category=womens-shop-all-womens,1 Color,-,$100.00,Women
79,Velophasis Technisch Sneakers PUMA White-PUMA Black,/us/en/pd/velophasis-technisch-sneakers%C2%A0/390932?swatch=01&referrer-category=womens-shop-all-womens,3 Colors,-,$120.00,Women
80,Scuderia Ferrari Clyde Garage Crews SneakersRosso Corsa-Warm White,/us/en/pd/scuderia-ferrari-clyde-garage-crews-sneakers/307826?swatch=02&referrer-category=womens-shop-all-womens,2 Colors,-,$90.00,Women
81,Scuderia Ferrari Clyde Garage Crews SneakersPUMA Black-Warm White,/us/en/pd/scuderia-ferrari-clyde-garage-crews-sneakers/307826?swatch=01&referrer-category=womens-shop-all-womens,2 Colors,-,$90.00,Women
82,PWR NITRO™ Squared Women's Training ShoesPUMA White-Speed Green,/us/en/pd/pwr-nitro%E2%84%A2-squared-womens-training-shoes/378688?swatch=02&referrer-category=womens-shop-all-womens,3 Colors,-,$120.00,Women
83,Magnify NITRO™ 2 Women's Running ShoesPUMA Black-Koral Ice-Speed Green,/us/en/pd/magnify-nitro%E2%84%A2-2-womens-running-shoes/378906?swatch=01&referrer-category=womens-shop-all-womens,1 Color,-,$140.00,Women
84,Clyde OG PUMA 75th Year Anniversary Celebration PRM SneakersSedate Gray-Sedate Gray,/us/en/pd/clyde-og-puma-75th-year-anniversary-celebration-prm-sneakers/393314?swatch=02&referrer-category=womens-shop-all-womens,1 Color,-,$100.00,Women
85,Run XX NITRO™ 2 Women's Running ShoesPUMA Black-Koral Ice-Speed Green-PUMA Silver,/us/en/pd/run-xx-nitro%E2%84%A2-2-womens-running-shoes/378482?swatch=01&referrer-category=womens-shop-all-womens,2 Colors,-,$140.00,Women
86,Electrify NITRO™ 3 Women's Running ShoesPUMA Black-Peach Smoothie-Speed Green,/us/en/pd/electrify-nitro%E2%84%A2-3-womens-running-shoes/378456?swatch=03&referrer-category=womens-shop-all-womens,3 Colors,-,$100.00,Women
87,ForeverRun NITRO™ Women's Running ShoesCherry Tomato-PUMA Black,/us/en/pd/foreverrun-nitro%E2%84%A2-womens-running-shoes/309758?swatch=02&referrer-category=womens-shop-all-womens,2 Colors,-,$150.00,Women
88,Velophasis Phased Women's SneakersPUMA Black-Intense Lavender,/us/en/pd/velophasis-phased-womens-sneakers/394508?swatch=03&referrer-category=womens-shop-all-womens,1 Color,-,$120.00,Women
89,Pulsar Wedge Deboss Women's SneakersPristine-Prairie Tan,/us/en/pd/pulsar-wedge-deboss-womens-sneakers/396449?swatch=01&referrer-category=womens-shop-all-womens,1 Color,-,$110.00,Women
90,PWR NITRO™ Squared Women's Training ShoesPUMA Black-Bold Blue-Future Pink,/us/en/pd/pwr-nitro%E2%84%A2-squared-womens-training-shoes/378688?swatch=03&referrer-category=womens-shop-all-womens,3 Colors,-,$120.00,Women
