,count_of_sizes,colors,product_code,quality,n_reviews,star_rating
219,9,"['Puma White-Marshmallow-Purple Charcoal', 'PUMA White-Lavender Fog-Anise Flower', 'PUMA White-Spring Lavender', 'PUMA White-Peach Smoothie']",386270_14,75.0,5,4.2
220,11,['Vine-Pristine'],391570_01,100.0,3,4.7
221,10,['Dusty Tan-Granola-PUMA White'],393402_03,,0,0.0
222,11,['Platinum Gray-Platinum Gray'],389161_01,100.0,1,5.0
223,11,['Green Fog-PUMA White-Sand Dune'],396113_01,100.0,7,4.9
224,11,"['Puma White-Marshmallow-Purple Charcoal', 'PUMA White-Lavender Fog-Anise Flower', 'PUMA White-Spring Lavender', 'PUMA White-Peach Smoothie']",386270_02,75.0,5,4.2
225,6,['Puma White-Nimbus Cloud-Fizzy Melon'],384433_02,,2,3.5
226,10,['PUMA White-Frosty Pink'],393077_01,0.0,2,4.0
227,9,['PUMA White'],389585_01,,4,5.0
228,12,['PUMA White-Parisian Night-Vine'],393340_01,,9,5.0
229,13,['Fizzy Light-Parisian Night-Blue Glimmer'],106898_01,,0,0.0
230,15,['PUMA White-Warm White'],393049_01,100.0,1,5.0
231,11,['Fast Yellow-PUMA Black'],377046_09,62.5,8,3.4
232,12,['Pastel Parchment-Peach Pink-Ocean Dive'],385517_02,,13,4.5
233,12,['Fiery Coral-Fizzy Light-Puma Black-Salmon'],107093_02,0.0,2,1.0
234,18,"['Puma Black-Puma White', 'High Risk Red-Puma White', 'Gray Violet-Puma White', 'Peacoat-Puma White', 'Honey Mustard-Puma White', 'Cabernet-Puma White', 'Steel Gray-Puma White', 'Puma Black-Puma Black', 'Malachite-PUMA White']",374915_01,80.8,421,4.2
235,15,['PUMA White'],379303_01,0.0,1,5.0
236,15,['Purple Glimmer-Green Gecko'],378916_01,71.2,72,4.2
237,18,"['Puma Black-Puma White', 'High Risk Red-Puma White', 'Gray Violet-Puma White', 'Peacoat-Puma White', 'Honey Mustard-Puma White', 'Cabernet-Puma White', 'Steel Gray-Puma White', 'Puma Black-Puma Black', 'Malachite-PUMA White']",374915_04,80.8,421,4.2
238,15,"['Puma Black-Puma White', 'High Risk Red-Puma White', 'Gray Violet-Puma White', 'Peacoat-Puma White', 'Honey Mustard-Puma White', 'Cabernet-Puma White', 'Steel Gray-Puma White', 'Puma Black-Puma Black', 'Malachite-PUMA White']",374915_12,80.8,421,4.2
239,18,"['Puma Black-Puma White', 'High Risk Red-Puma White', 'Gray Violet-Puma White', 'Peacoat-Puma White', 'Honey Mustard-Puma White', 'Cabernet-Puma White', 'Steel Gray-Puma White', 'Puma Black-Puma Black', 'Malachite-PUMA White']",374915_07,80.8,421,4.2
240,18,"['Puma Black-Puma White', 'High Risk Red-Puma White', 'Gray Violet-Puma White', 'Peacoat-Puma White', 'Honey Mustard-Puma White', 'Cabernet-Puma White', 'Steel Gray-Puma White', 'Puma Black-Puma Black', 'Malachite-PUMA White']",374915_02,80.8,421,4.2
