,count_of_sizes,colors,color,product_code
82,"['40', '41']","['NAVY', 'WHITE', 'BLACK']",['NAVY'],['FGC0Z7040072A']
83,['40'],"['RED', 'BLUE']",['RED'],['FGC0C8012921B']
84,"['40', '41']","['GREY', 'BLACK', 'NAVY']",['GREY'],['FGC0Y9041192A']
85,"['39', '40', '41', '42', '43', '44', '45']","['WHITE_BLUE', 'BLACK_GREEN']",['WHITE/BLUE'],['FGC0DN0AR892A']
86,"['39', '40', '41', '42', '43', '44', '45']","['LGREY_ORANGE', 'WHITE_BLUE']",['LGREY/ORANGE'],['FGC0DY0AR872A']
87,"['40', '41', '42', '43', '44', '45']","['BLACK', 'BLUE']",['BLACK'],['FGC0H40S9622A']
88,"['39', '40', '41', '42', '43', '44', '45']","['BLACK', 'LGREY_YELLOW']",['BLACK'],['FGC0DN0AR922A']
89,"['39', '40', '41', '42', '43', '44', '45']","['WHITE_BLACK', 'LGREY_BLUE']",['WHITE/BLACK'],['FGC0DN0AR882A']
90,"['40', '41', '42', '43', '44', '45']","['BLUE', 'OLIVE']",['BLUE'],['FGC0H40S7552A']
91,"['40', '41', '42', '43', '44', '45']","['WHITE', 'BLACK']",['WHITE'],['FGC0H40S9632A']
92,"['40', '42', '43', '44', '45']","['BLACK_RED', 'TEAL_GREY']",['BLACK/RED'],['FGC0Y9040932A']
93,"['40', '41', '42', '43', '44', '45']","['BLACK', 'BLUE']",['BLACK'],['FGC0H40S7562A']
94,"['40', '41', '42', '43', '44', '45']","['BEIGE', 'BLACK']",['BEIGE'],['FGC0H40S9642A']
95,"['40', '41', '42', '43', '44', '45']","['RB_BROWN', 'NBLUE']",['RB BROWN'],['FGC0Z3024211C']
96,"['40', '41', '42', '43', '44', '45']","['BEIGE', 'GREY']",['BEIGE'],['FGC0510R2012A']
97,"['39', '40', '41', '42', '43', '44', '45']",['WHITE'],['WHITE'],['FGC0DN0AR912A']
98,"['42', '43', '44', '45']","['WHITE', 'BLACK']",['WHITE'],['FGC0510R2022A']
99,"['41', '42', '43', '44', '45']","['NAVY', 'CASTOR_GREY']",['NAVY'],['FGC0BB033761A']
100,"['40', '41', '42', '43', '44', '45']","['BLUE', 'GREY']",['BLUE'],['FGC0H40S7542A']
101,"['40', '41', '42', '43', '44', '45']","['BLACK', 'GREY']",['BLACK'],['FGC0H40S7572A']
102,"['40', '41', '42', '43', '44', '45']","['GREY', 'BEIGE']",['GREY'],['FGC0510R2032A']
103,"['40', '41', '42', '43', '44', '45']",['BLACK_LGREY'],['BLACK/LGREY'],['FGC0EM0S0152A']
104,"['40', '41', '42', '43', '44', '45']","['OLIVE', 'NAVY']",['OLIVE'],['FGC0H40T3262A']
105,"['40', '41', '42', '43', '44', '45']",['BLACK_GREY'],['BLACK/GREY'],['FGC0180T8762A']
106,"['40', '41', '42', '43', '44', '45']","['BLACK', 'WHITE']",['BLACK'],['FGC0510R1992A']
107,"['40', '41', '42', '43', '44', '45']",['BLUE_WHITE'],['BLUE/WHITE'],['FGC0180T8752A']
108,"['39', '40', '41', '42', '44']","['DOVE_WHITE', 'WHITE']",['DOVE WHITE'],['FGC0B3025091A']
109,"['42', '43', '44', '45']","['DGREY', 'NAVY', 'BLACK']",['DGREY'],['FGC051028671A']
110,"['41', '42', '43', '44', '45']",['NAVY'],['NAVY'],['FGC0510S0112A']
111,"['39', '40', '41', '43', '44', '45']",['NAVY'],['NAVY'],['FGC0V2025091A']
112,"['41', '42', '43', '44', '45']",['SAND'],['SAND'],['FGC0DY0S0072A']
113,"['40', '41', '42', '43', '44', '45']","['LGREY', 'DGREY']",['LGREY'],['FGC0510R2062A']
114,"['40', '41', '42', '43', '44', '45']",['BLUE'],['BLUE'],['FGC0180V3512A']
115,[],"['CAMEL', 'DNAVY']",['CAMEL'],['FGC0G2030171A']
116,"['40', '42']","['GREY', 'BLACK']",['GREY'],['FGC0H40U8442A']
117,"['39', '40', '41', '42', '43', '44']",['DNAVY'],['DNAVY'],['FGC089024571A']
118,"['40', '41', '42', '43', '44', '45']",['WHITE'],['WHITE'],['FGC0H40U8012A']
119,"['40', '41', '42', '43', '44', '45']",['ARMY'],['ARMY'],['FGC0150S0032A']
120,"['42', '43', '44']","['GREY', 'NAVY', 'BLACK']",['GREY'],['FGC0Z7041542A']
121,"['44', '45']","['DGREEN', 'BLACK']",['DGREEN'],['FGC028030281A']
122,[],"['NAVY', 'WHITE', 'BLACK']",['NAVY'],['FGC031039112A']
123,"['40', '41', '42']","['NAVY', 'GREY', 'WHITE']",['NAVY'],['FGC0Z7041632A']
124,"['42', '43', '44', '45']",['NAVY_BROWN'],['NAVY/BROWN'],['FGC0150S0042A']
125,"['43', '44']","['WHITE', 'BLACK']",['WHITE'],['FGC031039122A']
126,"['40', '41']","['CASHEW_BROWN', 'DNAVY']",['CASHEW BROWN'],['FGC0L4037411A']
127,"['39', '40', '41', '42', '43']",['WHITE'],['WHITE'],['FGC0H40U8002A']
128,"['40', '41', '43', '44', '45']","['SNAYPE', 'RUST_BROWN', 'BLACK']",['SNAYPE'],['FGC0AR025091A']
129,['41'],"['BROWN', 'CAMEL', 'NAVY', 'DIRTY_BROWN']",['BROWN'],['FGC051019771A']
130,"['40', '41', '42', '43', '44']",['BLACK'],['BLACK'],['FGC0AJ024991A']
131,"['43', '44', '45']",['LBROWN_WHITE'],['LBROWN/WHITE'],['FGC0510S0102A']
132,"['44', '45']","['BLUE', 'GREY', 'BLACK']",['BLUE'],['FGC0H40U8422A']
133,"['43', '44', '45']","['LGREY', 'AQUA']",['LGREY'],['FGC0510R2002A']
134,['44'],"['NAVY_GREY', 'BLACK_NAVY']",['NAVY/GREY'],['FGC0510T7812A']
135,"['41', '42', '43', '44']",['BLUE'],['BLUE'],['FGC0510T7052A']
136,"['43', '44', '45']","['GREY', 'BEIGE']",['GREY'],['FGC0510R2042A']
137,"['40', '41', '43', '44', '45']","['BLACK', 'WHITE']",['BLACK'],['FGC0Y9039162A']
138,"['39', '40', '43', '44', '45']","['SNAYPE', 'RUST_BROWN']",['SNAYPE'],['FGC0AR025131A']
139,['40'],"['RBLUE', 'GREY', 'CAMEL']",['RBLUE'],['FGC051019021A']
140,"['41', '43', '45']","['BLACK_APPLE_GREEN', 'DGREY']",['BLACK/APPLE GREEN'],['FGC0Y9040922A']
141,['45'],"['GREY_OWHITE', 'WHITE_GREY', 'NAVY_BLUE']",['GREY/OWHITE'],['FGC0Y9040392A']
