,count_of_sizes,colors,product_code,star_rating,Size,comfort,quality,n_reviews,yes_recommendations,%_recommended
776,18,"['Light Crimson/Bright Mandarin/Black/Pale Ivory', 'Hyper Turquoise/Black/White/Fuchsia Dream', 'Bright Crimson/Black/White', 'Black/Hyper Royal/Chrome', 'Metallic Silver/Black/Hyper Pink']",FD1157-600,0,,,,0.0,,
777,17,"['Multi-Color/Multi-Color/Multi-Color/Multi-Color', 'Multi-Color/Multi-Color/Multi-Color/Multi-Color', 'Multi-Color/Multi-Color/Multi-Color/Multi-Color', 'Multi-Color/Multi-Color/Multi-Color/Multi-Color']",DM1182-991,,,,,,,
778,3,"['Hyper Turquoise/Fuchsia Dream/White/Black', 'Bright Crimson/White/University Red/Black', 'Black/Hyper Royal/Chrome', 'Barely Volt/Barely Grape/Gridiron']",DC9968-705,4.7,43.0,81.0,43.19,54.0,3.0,5.56
779,10,"['Dark Beetroot/Sail/Black', 'Black/Black/Black', 'Light Smoke Grey/Sail/Black', 'Black/Black/White', 'White/White/Black', 'White/White/White']",DN3577-002,4.7,53.0,63.0,39.99,252.0,10.0,3.97
780,1,"['Light Crimson/Bright Mandarin/Black/Pale Ivory', 'Hyper Turquoise/Black/White/Fuchsia Dream', 'Baltic Blue/White', 'Bright Crimson/Black/White', 'Black/Hyper Royal/Chrome', 'Metallic Silver/Black/Volt', 'Pink Blast/Gridiron/Volt', 'Black/Summit White/Volt/Dark Smoke Grey']",DJ4978-605,4.7,41.0,83.0,44.0,75.0,6.0,8.0
781,1,"['Phantom/Bright Crimson/White/Midnight Navy', 'Anthracite/White/Cool Grey/Black', 'White/Pure Platinum/Wolf Grey/Black']",DJ5593-041,4.1,16.0,76.0,46.0,73.0,,
782,17,"['Black/White', 'Black/Pure Platinum/Lime Blast/Geode Teal', 'Midnight Navy/Black/White/Pure Platinum', 'Black/Off Noir', 'Wolf Grey/Smoke Grey/Black/Volt', 'White/White/Pure Platinum', 'White/Midnight Navy/University Red', 'Light Armory Blue/Star Blue/Green Strike/Black']",FB2207-100,4.8,25.0,100.0,45.83,16.0,2.0,12.5
783,3,['Summit White/Black/Summit White/Light Silver'],DZ2544-100,4.2,43.0,57.0,62.12,22.0,19.0,86.36
784,19,"['Black/Orange/Electro Orange/Black', 'Black/Black/Gum Light Brown/White', 'White/Black', 'Light Chocolate/White/Black/Black', 'Thunder Blue/Saturn Gold/Soft Yellow/Thunder Blue', 'Cacao Wow/Cacao Wow/Earth/Black']",DX4361-002,4.8,50.0,88.0,74.21,13.0,11.0,84.62
785,10,"['Red Stardust/Rosewood/Dark Russet/Team Red', 'Gorge Green/Action Green/Bright Cactus/Copa', 'Lilac/Medium Soft Pink/Coconut Milk/Noise Aqua']",DV5475-300,4.7,38.0,88.0,56.81,9.0,4.0,44.44
786,11,"['Sail/Wolf Grey/Challenge Red/Black', 'Gym Red/Black/White', 'Light Silver/Volt/Particle Grey/Green Strike', 'White/Black/Team Crimson']",DZ3338-106,4.6,50.0,84.0,57.17,8.0,3.0,37.5
787,21,"['Sail/Light Lemon Twist/Black/Fierce Pink', 'Racer Blue/Lime Blast/Safety Orange/White']",CD4382-400,4.9,15.0,92.0,38.89,31.0,3.0,9.68
788,15,"['Pro Green/Black/White', 'Game Royal/Black/White', 'Signal Blue/Black/White', 'Court Purple/Black/White', 'Bright Ceramic/Black/White', 'Desert Orange/Black/White', 'Gorge Green/Black/White', 'Light Iron Ore/Phantom/Flat Pewter/Green Strike', 'Black/Clear Jade/Mica Green', 'University Red/White/Football Grey/Black', 'Racer Blue/White/Obsidian/Sundial']",FN6616-800,4.9,50.0,100.0,83.33,13.0,13.0,100.0
789,10,['Black/White/New Redwood'],DX5635-002,1,,50.0,75.0,1.0,1.0,100.0
790,1,['Black/White/Metallic Silver'],FD0670-001,4.5,,50.0,50.0,11.0,,
791,21,['Hyper Pink/Laser Orange/Black'],CD4382-600,4.9,15.0,92.0,38.89,31.0,3.0,9.68
792,8,"['Hyper Turquoise/Fuchsia Dream/White/Black', 'Bright Crimson/White/University Red/Black', 'Black/Hyper Royal/Chrome', 'Barely Volt/Barely Grape/Gridiron']",DD9465-600,4.4,20.0,70.0,32.94,34.0,3.0,8.82
793,19,"['Multi-Color/Multi-Color', 'Multi-Color/Multi-Color', 'Multi-Color/Multi-Color', 'Multi-Color/Multi-Color', 'Multi-Color/Multi-Color', 'Multi-Color/Multi-Color']",FN6746-904,,,,,,,
794,25,"['Barely Green/Barely Volt/Football Grey/Cave Purple', 'Black/Midnight Navy/White/Volt', 'Black/Wolf Grey/Cool Grey/White', 'White/Pure Platinum/Black', 'Picante Red/Team Red/Brilliant Orange/Jade Ice', 'Phantom/Light Orewood Brown/University Gold/White']",DD9304-602,4.5,40.0,78.0,41.09,171.0,9.0,5.26
795,17,"['Aquarius Blue/Metallic Silver/White/Black', 'Metallic Silver/Sail/Black/Metallic Silver', 'Racer Blue/Black/Flat Silver/White', 'White/Metallic Platinum/Varsity Red', 'Sail/Wolf Grey/Metallic Silver/White', 'Photon Dust/Light Bone/Pale Ivory/Khaki', 'Black/Anthracite/Black', 'Flat Pewter/Light Iron Ore/Metallic Silver/White', 'Pure Platinum/Black/White', 'Coconut Milk/Medium Blue/Photon Dust/Sail']",FQ8732-010,5,50.0,100.0,83.33,6.0,6.0,100.0
796,6,"['Black/Dark Concord/White/True Red', 'White/Black/Dark Concord', 'White/Black/Game Royal', 'White/Black/Lucky Green', 'White/Black/University Red', 'White/Gym Red/Black']",DO1925-130,4.9,56.0,88.0,49.63,327.0,16.0,4.89
797,10,"['Black/Iron Grey/Jade Ice/Pastel Yellow', 'Fierce Pink/Fireberry/Hyper Pink/Guava Ice']",FQ8971-600,4,50.0,75.0,75.0,2.0,2.0,100.0
798,26,"['University Red/White', 'Game Royal/White', 'White/White/Black', 'Black/Black/White', 'Wolf Grey/White']",DZ2946-100,3,50.0,100.0,83.33,1.0,1.0,100.0
799,2,"['Guava Ice/Bordeaux/Bold Berry/Bright Crimson', 'Guava Ice/Emerald Rise/Medium Olive/Blue Lightning', 'Laser Orange/Hyper Pink/White/Racer Blue', 'Violet Frost/Purple Pulse/Canyon Purple/Metallic Gold', 'Sesame/Sail/Midnight Navy/Light Crimson', 'Black/White/Pure Platinum/Metallic Gold', 'Light Silver/Lemon Chiffon/Safety Orange/Hyper Royal', 'Black/University Red/University Gold/Black', 'Barely Green/Medium Soft Pink/Light Bone/Multi-Color']",DJ5423-300,4.8,39.0,92.0,45.16,201.0,9.0,4.48
800,19,['Football Grey/White/Luminous Green/Black'],FZ3620-001,0,,,,0.0,,
801,10,"['Light Crimson/Bright Mandarin/Black/Pale Ivory', 'Black/Hyper Royal/Chrome', 'Hyper Turquoise/Black/White/Fuchsia Dream']",DJ5167-300,0,,,,0.0,,
802,2,"['White/Neutral Grey/Cement Grey/Teal Nebula', 'Light Silver/Black/Deep Royal Blue/Football Grey', 'Medium Grey/White/Hyper Violet/Black', 'White/Black/Coconut Milk/University Red', 'White/White/Black', 'Coconut Milk/Team Gold/Sail/Black', 'White/University Blue/Old Royal/White', 'Hay/Taupe/Varsity Red/Baroque Brown', 'Enamel Green/Summit White/Coconut Milk/Sail', 'Limestone/Ale Brown/White/Valerian Blue', 'Black/Dark Grey/Cool Grey/White', 'Dark Pony/Coconut Milk/Sail/Medium Soft Pink']",FD0808-001,4.8,34.0,92.0,57.38,13.0,6.0,46.15
803,20,"['Noble Green/Noble Green/White/Midnight Navy', 'University Red/University Red/White/White', 'Cerulean/Cerulean/White/White']",864349-302,4.6,46.0,84.0,48.18,55.0,8.0,14.55
804,6,"['White/Sail/Dark Royal Blue', 'White/Sail/Black']",DX4981-103,4.8,50.0,69.0,73.0,21.0,21.0,100.0
805,16,"['White/Black/Blue Tint/University Red', 'White/Pure Platinum/Blue Tint/Midnight Navy', 'White/Pure Platinum/Black/Wolf Grey', 'White/Blue Tint/Pure Platinum/Black', 'Black/Blue Tint/Pure Platinum/White', 'Wolf Grey/Cool Grey/Pure Platinum/White', 'White/Wolf Grey/Pure Platinum/Black', 'University Red/Team Red/Habanero Red/White']",DJ6520-001,4.9,50.0,100.0,75.0,11.0,,
806,11,"['Light Crimson/Bright Mandarin/Black/Pale Ivory', 'Hyper Turquoise/Black/White/Fuchsia Dream', 'Bright Crimson/Black/White', 'Black/Hyper Royal/Chrome']",FD1162-600,4,100.0,100.0,100.0,1.0,1.0,100.0
807,2,"['Hyper Turquoise/Black', 'White/White/White', 'White/Bright Crimson/Black', 'Black/Hyper Royal/Chrome']",DZ3183-100,3.6,,,,5.0,,
808,2,"['Lime Blast/Black', 'Black/Teal Nebula/Hyper Pink/White', 'White/Wolf Grey/Metallic Silver', 'Smoke Grey/Black/Barely Volt/Metallic Silver']",DO6294-002,4.7,,50.0,41.66,3.0,1.0,33.33
809,1,"['Summit White/Summit White/Safety Orange/Cinnabar', 'Mica Green/Light Bone/Phantom/Rosewood', 'Smoke Grey/Vivid Purple/Phantom/Dark Smoke Grey', 'Limestone/Dark Driftwood/Sail/Green Glow', 'Black/Hyper Pink/Wolf Grey/Black', 'Wolf Grey/Grey Fog/Summit White/Navy', 'Black/Black/Wolf Grey/Cool Grey', 'Earth/Black/Photon Dust/Light Iron Ore', 'Hemp/Dark Russet/Total Orange/Coral Chalk', 'Light Bone/Diffused Blue/Summit White/Light Photo Blue', 'Cargo Khaki/Black/Bright Cactus/Moss', 'Cacao Wow/Cacao Wow/Viotech/Black']",DM8019-004,3.8,45.0,75.0,60.0,16.0,,
810,1,['Bright Crimson/Black/White'],DJ5633-600,4.3,50.0,100.0,75.0,8.0,,
811,11,"['Pure Platinum/Light Ultramarine/Football Grey/Dark Smoke Grey', 'White/Clear Jade/Rush Fuchsia/Black', 'Photon Dust/Emerald Rise/Volt/Black', 'White/Pure Platinum/Black', 'Black/Smoke Grey/Iron Grey/White', 'Phantom/Oil Green/Sail/Earth']",DX0024-100,4,50.0,100.0,83.33,1.0,1.0,100.0
812,2,['White/Sail/Platinum Tint'],CW7586-100,5,50.0,100.0,61.11,9.0,3.0,33.33
813,22,"['Black/Guava Ice/Orange/Black', 'Light Bone/Coconut Milk/Cobblestone/Light Bone']",FN6594-002,0,,,,0.0,,
814,1,"['Black/Dark Smoke Grey/White', 'Bright Spruce/Valerian Blue/Cerulean/Light Crimson']",DM0174-302,4.6,53.0,93.0,73.0,79.0,,
815,17,"['Black/Clear Jade/White', 'Pure Platinum/White/University Red/Black', 'Light Silver/Summit White/Bright Mandarin/Iron Grey', 'Obsidian/White/Racer Blue/Sundial', 'Smoke Grey/Light Smoke Grey/Dark Smoke Grey/White', 'Obsidian/Bright Crimson/White', 'Phantom/Flat Pewter/Green Strike', 'Black/Anthracite/White']",DZ9360-007,4,50.0,100.0,61.11,3.0,1.0,33.33
816,0,['Burgundy Crush/Platinum Tint/Plum Eclipse'],FB8895-600,,,,,,,
817,22,['Black/White/Metallic Gold/Malachite'],FJ0850-001,0,,,,0.0,,
818,16,"['Midnight Navy/Dark Obsidian/Black/White', 'University Red/Light Crimson/Black/White', 'White/Pure Platinum/Bright Crimson/Black', 'Pewter/Wolf Grey/White/Black', 'White/Football Grey/University Red/Hyper Violet', 'Black/Anthracite/Cool Grey/White']",FB2907-100,0,,,,0.0,,
819,16,"['White/Pure Platinum/University Red', 'White/Pure Platinum/Wolf Grey', 'White/Pure Platinum/Midnight Navy', 'Black/Blue Tint/Anthracite/White', 'White/Pure Platinum/Black']",FD6255-102,0,,,,0.0,,
820,9,"['Light Crimson/Bright Mandarin/Black/Pale Ivory', 'Hyper Turquoise/Black/White/Fuchsia Dream', 'Bright Crimson/Black/White', 'Black/Hyper Royal/Chrome', 'Pink Blast/Gridiron/Volt']",DJ5627-300,4.2,50.0,100.0,53.33,10.0,1.0,10.0
821,22,"['Multi-Color/Multi-Color', 'Multi-Color/Multi-Color', 'Multi-Color/Multi-Color', 'Multi-Color/Multi-Color', 'Multi-Color/Multi-Color', 'Multi-Color/Multi-Color', 'Multi-Color/Multi-Color']",FJ8893-900,,,,,,,
822,1,"['Black/Metallic Gold', 'Pure Platinum/Wolf Grey/Sail/Wolf Grey', 'Pink Gaze/White/Black/Hyper Pink', 'Black/Reflect Silver/Metallic Silver/White', 'Black/Anthracite/Picante Red', 'Medium Olive/Sequoia/Black/Light Silver', 'White/Black/Wolf Grey', 'Photon Dust/Dark Obsidian/White/Malachite', 'Light Bone/Khaki/Sail/Black', 'Black/White', 'Black/Wolf Grey/White/Blue Nebula', 'Black/Anthracite/White']",921826-011,4.8,45.0,83.0,43.13,1291.0,18.0,1.39
823,19,"['Multi-Color/Multi-Color', 'Multi-Color/Multi-Color', 'Multi-Color/Multi-Color', 'Multi-Color/Multi-Color', 'Multi-Color/Multi-Color', 'Multi-Color/Multi-Color']",FN6750-900,,,,,,,
824,4,['Black/Dark Grey/Black/White'],DC7232-001,4.2,41.0,67.0,38.0,50.0,3.0,6.0
825,1,"['Black/Volt/Hyper Pink/White', 'White/Black/Blue Lightning/Lime Blast', 'Black/Green Abyss/Hyper Pink/Fuchsia Dream', 'White/University Red/Total Orange/Photo Blue', 'Moss/Oil Green/Vivid Orange/Black', 'Game Royal/Vivid Orange/White/University Blue', 'Black/White', 'Pure Platinum/Black/Medium Blue/Bright Crimson', 'White/Light Bone/Light Iron Ore/Iron Grey', 'Mineral Teal/Black/Faded Spruce/Light Silver', 'Black/Off Noir/Sesame/Sail', 'Sesame/Buff Gold/Bronzine/Lime Blast']",DM3413-002,4.3,45.0,84.0,46.37,267.0,27.0,10.11
826,17,"['Black/Light Bone/Golden Beige/Vivid Sulfur', 'Deep Jungle/Geode Teal/Black/Safety Orange', 'Black/Dark Smoke Grey/Volt/White', 'Black/Off Noir/Dark Smoke Grey/Black']",DO7625-001,4.5,50.0,85.0,47.72,49.0,4.0,8.16
827,22,"['Multi-Color/Multi-Color/Multi-Color', 'Multi-Color/Multi-Color/Multi-Color', 'Multi-Color/Multi-Color/Multi-Color', 'Multi-Color/Multi-Color/Multi-Color', 'Multi-Color/Multi-Color/Multi-Color', 'Multi-Color/Multi-Color/Multi-Color', 'Multi-Color/Multi-Color/Multi-Color']",FJ2253-901,,,,,,,
828,12,"['Bright Crimson/Black/White', 'Black/Hyper Royal/Chrome']",DJ5963-600,4.7,32.0,44.0,27.96,76.0,6.0,7.89
829,5,"['White/University Red/Black/Black', 'Black/Black/Black/University Red', 'Baroque Brown/Black/Obsidian', 'White/White/Black/Black', 'Orange/Orange/Black/Blue Jay', 'Black/Black/Black/Black']",DV5473-001,5,50.0,84.0,66.89,3.0,2.0,66.67
830,6,"['Spruce Aura/Volt/White/Black', 'Midnight Navy/Black/White/Metallic Silver', 'White/Smoke Grey/Black', 'Black/Dark Smoke Grey/Smoke Grey/White']",CD0197-006,4.5,45.0,83.0,46.49,96.0,11.0,11.46
831,20,"['Multi-Color/Multi-Color/Multi-Color/Multi-Color', 'Multi-Color/Multi-Color/Multi-Color', 'Multi-Color/Multi-Color/Multi-Color', 'Multi-Color/Multi-Color/Multi-Color', 'Multi-Color/Multi-Color/Multi-Color', 'Multi-Color/Multi-Color/Multi-Color', 'Multi-Color/Multi-Color/Multi-Color/Multi-Color', 'Multi-Color/Multi-Color/Multi-Color']",DV3892-900,,,,,,,
832,11,"['Total Orange/Black', 'Black/White']",FD0762-800,4.3,75.0,79.0,69.11,15.0,8.0,53.33
833,7,['White/Black/Photon Dust/Flash Crimson'],FJ1213-106,4.7,50.0,100.0,75.0,7.0,,
834,19,"['Multi-Color/Multi-Color/Multi-Color', 'Multi-Color/Multi-Color/Multi-Color', 'Multi-Color/Multi-Color/Multi-Color', 'Multi-Color/Multi-Color/Multi-Color', 'Multi-Color/Multi-Color/Multi-Color', 'Multi-Color/Multi-Color/Multi-Color']",DX5257-900,,,,,,,
835,12,['Light Soft Pink/Summit White/Smoke Grey/Canyon Purple'],DN2647-651,4.3,84.0,84.0,60.76,7.0,1.0,14.29
836,5,"['Hyper Turquoise/Fuchsia Dream/White/Black', 'Bright Crimson/White/University Red/Black', 'Black/Hyper Royal/Chrome', 'Barely Volt/Barely Grape/Gridiron']",DD9475-705,0,,,,0.0,,
837,3,['Black/Anthracite/White'],CW3406-004,4.2,29.0,70.0,49.5,66.0,,
838,17,"['Multi-Color/Multi-Color/Multi-Color/Multi-Color', 'Multi-Color/Multi-Color/Multi-Color/Multi-Color', 'Multi-Color/Multi-Color/Multi-Color/Multi-Color', 'Multi-Color/Multi-Color/Multi-Color/Multi-Color', 'Multi-Color/Multi-Color/Multi-Color/Multi-Color', 'Multi-Color/Multi-Color/Multi-Color/Multi-Color', 'Multi-Color/Multi-Color/Multi-Color/Multi-Color']",DO7424-900,,,,,,,
839,4,['Black/Black/White'],DJ6606-001,4.3,13.0,95.0,39.51,38.0,4.0,10.53
840,12,"['Black/Black/University Red', 'Yellow Ochre/Black/White', 'Black/White/Wolf Grey/Metallic Gold', 'White/Varsity Red/Wolf Grey/Black', 'Black/Bright Mandarin/Sail/Sky J Light Olive', 'White/Cardinal Red/Light Graphite/Vivid Orange', 'Black/Black/Anthracite']",DZ4353-160,4.8,46.0,90.0,67.95,28.0,19.0,67.86
841,2,['White/Aquatone/Celestial Gold'],DM1206-174,4.7,52.0,88.0,69.74,26.0,18.0,69.23
842,13,"['Black/Off Noir/Black', 'Black/Dark Smoke Grey/Vivid Sulfur/Chlorine Blue']",CZ1884-004,4.6,46.0,93.0,46.85,581.0,9.0,1.55
843,16,['Light Orewood Brown/Coconut Milk/Deep Jungle/Sail'],FQ8077-104,4,63.0,88.0,75.33,4.0,3.0,75.0
844,8,"['White/Cardinal Red/Vivid Orange', 'Black/White/University Red', 'White/Wolf Grey/Racer Blue']",DC8418-104,4.8,50.0,93.0,48.71,320.0,10.0,3.12
845,27,"['Sail/Light Lemon Twist/Guava Ice/Fierce Pink', 'Racer Blue/Lime Blast/Safety Orange/White', 'White/Metallic Silver/Pure Platinum/Black', 'Black/Light Smoke Grey/Dark Smoke Grey/Metallic Silver']",DC8753-100,4.6,25.0,50.0,25.4,83.0,1.0,1.2
846,20,"['Multi-Color/Multi-Color/Multi-Color', 'Multi-Color/Multi-Color/Multi-Color', 'Multi-Color/Multi-Color/Multi-Color', 'Multi-Color/Multi-Color/Multi-Color', 'Multi-Color/Multi-Color/Multi-Color/Multi-Color', 'Multi-Color/Multi-Color/Multi-Color/Multi-Color', 'Multi-Color/Multi-Color/Multi-Color', 'Multi-Color/Multi-Color/Multi-Color', 'Multi-Color/Multi-Color/Multi-Color', 'Multi-Color/Multi-Color/Multi-Color']",DV3892-900,,,,,,,
847,21,"['Hyper Pink/Laser Orange/Black', 'Sail/Light Lemon Twist/Guava Ice/Fierce Pink', 'Racer Blue/Safety Orange/Lime Blast/White', 'White/Chile Red/Coconut Milk/Black', 'Mint Foam/Volt/Cave Purple']",CD4385-400,4.2,61.0,90.0,75.5,21.0,,
848,21,['Coyote/Coyote/Coyote'],DD0007-900,3.4,23.0,94.0,41.08,16.0,1.0,6.25
849,17,"['Metallic Silver/White/Black', 'White/Black', 'White/Metallic Cool Grey/Obsidian']",394055-001,4.6,42.0,100.0,50.73,49.0,5.0,10.2
850,14,['White/Deep Jungle/Light Silver/Black'],FB8889-100,5,50.0,75.0,75.0,2.0,2.0,100.0
851,15,['Iron/Egret'],A03938C-206,0,,,,0.0,,
852,1,"['White/Black/Cyber/Cyber', 'Black/Black/Iron Grey/Black', 'Particle Grey/Grey Fog/Black/White']",CT2357-100,4.3,46.0,83.0,64.5,365.0,,
853,8,"['Black/White', 'White/Black']",DR5540-002,4.4,43.0,96.0,49.67,30.0,3.0,10.0
854,16,"['Mica Green/Black/Clear Jade/White', 'Obsidian/Racer Blue/Sundial/White', 'Football Grey/Pure Platinum/White/University Red', 'Obsidian/Lime Blast/Polar/Pink Foam', 'Light Iron Ore/Flat Pewter/Black', 'Black/Black/Dark Smoke Grey', 'Black/Black/White', 'Light Silver/Sequoia/Wolf Grey/High Voltage', 'Court Blue/Green Strike/Black', 'Smoke Grey/Dark Smoke Grey/Dark Grey/White']",DM0829-301,4.6,55.0,95.0,53.06,294.0,27.0,9.18
855,1,['Black/White/Bright Crimson/University Red'],CW3400-001,4.8,48.0,87.0,46.33,275.0,11.0,4.0
856,10,['Black/Old Royal/White'],DX5636-002,0,,,,0.0,,
857,10,['Black/Game Royal/White'],DD0529-002,3.8,50.0,100.0,75.0,4.0,,
858,17,"['Dark Smoke Grey/White/Monarch/Smoke Grey', 'Light Silver/Iron Grey/Bright Mandarin', 'Mica Green/Black/White/Clear Jade', 'White/Football Grey/University Red', 'Phantom/White/Flat Pewter/Green Strike', 'Photon Dust/Light Bone/Cool Grey/Anthracite', 'Cave Purple/Black/Light Crimson/Bright Crimson', 'Black/Black/White']",DM0823-101,4,50.0,75.0,49.6,21.0,5.0,23.81
859,17,"['Coconut Milk/Hemp/Sesame/Baroque Brown', 'Light Bone/Black/Photon Dust/White', 'White/Black/Sail/Photon Dust', 'Wheat Gold/Black/Coconut Milk/Safety Orange', 'Black/White/Football Grey/Multi-Color', 'Black/Dark Pony/Sail/Faded Spruce']",FB8885-100,5,50.0,100.0,83.33,1.0,1.0,100.0
860,14,"['Multi-Color/Multi-Color', 'Multi-Color/Multi-Color', 'Volt/Volt', 'Multi-Color/Multi-Color']",DX5261-902,,,,,,,
861,22,"['Phantom/White/Light Bone/Barely Volt', 'Wolf Grey/Smoke Grey/White', 'White/Black/White', 'Grey Fog/Cement Grey/Burnt Sunrise/White', 'White/Pure Platinum/Fire Red/Black', 'Black/Cement Grey/Metallic Silver/White']",DM0103-003,4.5,54.0,81.0,46.08,93.0,3.0,3.23
862,22,"['White/Challenge Red/Hyper Royal/Obsidian', 'White/Tour Yellow/Photo Blue/Obsidian']",FB8132-100,5,50.0,100.0,83.33,1.0,1.0,100.0
863,1,"['White/Clear Jade', 'White/White/Black']",DV0806-102,4.7,46.0,90.0,48.67,30.0,3.0,10.0
864,3,['Light Bone/White/Hemp/Clear Jade'],DZ4637-001,5,50.0,100.0,83.33,1.0,1.0,100.0
865,12,"['Hyper Turquoise/Fuchsia Dream/Black', 'Black/Hyper Royal/Chrome']",DV4336-040,4.3,25.0,88.0,54.33,6.0,3.0,50.0
866,22,"['Multi-Color/Multi-Color', 'Multi-Color/Multi-Color', 'Multi-Color/Multi-Color', 'Multi-Color/Multi-Color', 'Multi-Color/Multi-Color', 'Multi-Color/Multi-Color']",FQ7148-900,,,,,,,
867,7,['University Orange/Game Royal/White/Black'],DZ7740-800,5,50.0,100.0,83.33,1.0,1.0,100.0
868,4,"['White/Cedar/Team Red', 'White/Pale Ivory/Monarch', 'Black/White', 'White/Black']",DV3258-103,4.1,37.0,82.0,43.59,17.0,2.0,11.76
869,3,"['White/Photo Blue/Deep Royal Blue/University Red', 'Photon Dust/Light Crimson/White/Black', 'Midnight Navy/White/Black/Wolf Grey', 'Anthracite/Black/White/Racer Blue', 'Bright Crimson/Obsidian/Light Orewood Brown/White', 'Black/Anthracite/White']",DA7245-011,4.6,49.0,92.0,49.0,267.0,16.0,5.99
870,7,"['Desert Ochre/Hyper Royal/Gum Yellow/Desert Ochre', 'Black/Anthracite']",FB1378-001,4.9,50.0,100.0,51.85,18.0,1.0,5.56
871,12,"['Bison/Hyper Crimson/Total Orange/Black', 'Hemp/Canyon Purple', 'Black/Ash Green/Black', 'Black/Anthracite', 'Vachetta Tan/Night Blue/Oxidized Green/Black']",DM3004-001,3.8,50.0,67.0,47.33,4.0,1.0,25.0
872,9,"['White', 'Black']",168817C-102,4,100.0,100.0,100.0,1.0,1.0,100.0
873,12,"['White/Light Crimson/Gym Red', 'White/Pine Green/Medium Grey/Black', 'White/Black/Hyper Royal']",FJ2843-100,4.7,50.0,89.0,49.74,372.0,38.0,10.22
874,5,"['Obsidian/Black/White/Dark Marina Blue', 'Black/Dark Smoke Grey/White', 'Obsidian/Valerian Blue/Bright Spruce/Barely Green', 'Black/Dark Smoke Grey/Iron Grey/University Red']",DD6203-003,4.6,47.0,92.0,46.61,359.0,3.0,0.84
875,13,"['Wolf Grey/Black/Volt/White', 'Sea Glass/White/University Red/Midnight Navy', 'Black/Particle Grey/Dark Smoke Grey', 'Geode Teal/Purple Ink/Lime Blast/Black', 'Platinum Tint/Black/White/Light Crimson', 'Black/Dark Smoke Grey/Light Smoke Grey/White', 'Black/Dark Smoke Grey/Pure Platinum/White', 'Midnight Navy/Dark Obsidian/Pure Platinum/Worn Blue', 'White/White/Pure Platinum']",DD9293-003,4.6,43.0,82.0,44.41,158.0,13.0,8.23
876,26,"['Multi-Color/Multi-Color/Multi-Color', 'Multi-Color/Multi-Color/Multi-Color', 'Multi-Color/Multi-Color/Multi-Color', 'Multi-Color/Multi-Color/Multi-Color', 'Multi-Color/Multi-Color/Multi-Color', 'Multi-Color/Multi-Color/Multi-Color']",FJ4036-900,,,,,,,
877,1,"['White/Action Green/Light Lemon Twist/Black', 'Deep Jungle/Deep Jungle/Lime Ice', 'White/Kelly Green', 'Sanddrift/University Blue/White/Game Royal', 'Black/Metallic Silver']",DD1579-103,4.3,57.0,83.0,47.54,38.0,1.0,2.63
878,10,"['Black/Black/Black/Anthracite', 'Rugged Orange/Rugged Orange/Black/Black', 'Moss/Moss/Light Orewood Brown/Black']",DZ3407-800,4.9,44.0,100.0,71.33,10.0,7.0,70.0
879,1,"['University Red/Ember Glow/Bordeaux/Coconut Milk', 'White/Black/Wolf Grey/White', 'White/Black/Wolf Grey/Volt', 'Wolf Grey/Barely Volt/Bright Crimson/White', 'Particle Grey/Lilac/Violet Frost/Football Grey', 'Black/Volt/White']",DD9538-012,4.8,47.0,94.0,48.9,193.0,11.0,5.7
880,0,['Summit White/White/Lemon Wash/White'],DV1734-100,3.5,50.0,75.0,62.5,4.0,,
881,5,"['Anthracite/Summit White/Particle Grey/University Blue', 'Orange/Black/White/Orange']",DC8751-800,4.7,50.0,93.0,49.7,115.0,7.0,6.09
882,15,['White/Team Gold/Team Maroon'],DZ5943-100,0,,,,0.0,,
883,22,"['Multi-Color/Multi-Color', 'Multi-Color/Multi-Color', 'Multi-Color/Multi-Color', 'Multi-Color/Multi-Color', 'Multi-Color/Multi-Color', 'Multi-Color/Multi-Color', 'Multi-Color/Multi-Color', 'Multi-Color/Multi-Color']",FJ8896-900,,,,,,,
884,20,"['Lucky Green/Black/White/University Gold', 'Black/Black/Anthracite/Black', 'White/White/Gum Light Brown/Fir', 'Court Blue/Court Blue/University Red/Light Orewood Brown']",DC7695-102,4.9,47.0,88.0,48.92,17.0,2.0,11.76
885,0,"['Diffused Taupe/Dark Pony/Sanddrift/Picante Red', 'Spring Green/Olive Flak/Black/White', 'White/Vivid Sulfur/Anthracite/Black', 'Black/White', 'Deep Royal Blue/Yellow Strike/Coconut Milk/White', 'Purple Ink/Deep Jungle/Purple Cosmos/Safety Orange', 'Mineral Teal/Wolf Grey/Racer Blue/Obsidian']",DH0623-400,4.7,50.0,95.0,54.19,91.0,16.0,17.58
886,14,['White/Varsity Maize/Sport Royal'],DZ5952-100,0,,,,0.0,,
887,3,"['Coconut Milk/Barely Volt/White/Neptune Green', 'Iron Grey/Particle Grey/Celery/Phantom']",DX3946-100,5,,,,2.0,,
