,ShoeName,URL,no_colors,price_reduce,price,price_,Category
40,ZNSORED Shoes,https://www.adidas.com/us/znsored-shoes/HP9824.html,5 colors,$64,$80,-,WOMEN Sportswear
41,Superstar Shoes,https://www.adidas.com/us/superstar-shoes/HQ1905.html,2 colors,$63,$105,-,Women's Originals
42,Court Revival Shoes,https://www.adidas.com/us/court-revival-shoes/HQ7087.html,2 colors,$67,$95,-,Women's Sportswear
43,Forum Millencon Shoes,https://www.adidas.com/us/forum-millencon-shoes/HQ6040.html,-,$65,$130,-,Women's Originals
44,Edge Lux Shoes,https://www.adidas.com/us/edge-lux-shoes/GZ6741.html,4 colors,$72,$90,-,Women's Sportswear
45,Y-3 Superstar,https://www.adidas.com/us/y-3-superstar/IE9541.html,4 colors,$231,$330,-,WOMEN Y-3
46,Predator Accuracy.1 Low Firm Ground Soccer Cleats,https://www.adidas.com/us/predator-accuracy.1-low-firm-ground-soccer-cleats/GW4576.html,"7 colors, Firm Ground",$200,$250,-,WOMEN Soccer
47,Alphaboost V1 Shoes,https://www.adidas.com/us/alphaboost-v1-shoes/IE9727.html,6 colors,$84,$120,-,Women's Sportswear
0,Predator Accuracy.1 Low Firm Ground Soccer Cleats,https://www.adidas.com/us/predator-accuracy.1-low-firm-ground-soccer-cleats/GW4574.html,"3 colors, Firm Ground",$188,$250,-,WOMEN Soccer
1,ZG23 RAIN.RDY Golf Shoes,https://www.adidas.com/us/zg23-rain.rdy-golf-shoes/GW2131.html,-,$143,$220,-,WOMEN Golf
2,Stan Smith Shoes,https://www.adidas.com/us/stan-smith-shoes/FZ6370.html,2 colors,$84,$105,-,Women's Originals
3,TERREX Soulstride Trail Running Shoes,https://www.adidas.com/us/terrex-soulstride-trail-running-shoes/FY9256.html,5 colors,$56,$80,-,Women's TERREX
4,Predator Accuracy+ Artificial Grass Soccer Cleats,https://www.adidas.com/us/predator-accuracy-plus-artificial-grass-soccer-cleats/HQ0954.html,"2 colors, Artificial Grass",$210,$280,-,WOMEN Soccer
5,Predator Accuracy.1 Low Firm Ground Soccer Cleats,https://www.adidas.com/us/predator-accuracy.1-low-firm-ground-soccer-cleats/GW4577.html,"3 colors, Firm Ground",$188,$250,-,WOMEN Soccer
6,Stan Smith Bonega 2B Shoes,https://www.adidas.com/us/stan-smith-bonega-2b-shoes/IG2394.html,-,$75,$125,-,WOMEN Originals
7,Oztral Shoes,https://www.adidas.com/us/oztral-shoes/HQ4473.html,2 colors,$91,$130,-,Women's Originals
8,Forum Bold Shoes,https://www.adidas.com/us/forum-bold-shoes/HQ6953.html,7 colors,$77,$110,-,Women's Originals
9,Adilette Sandals,https://www.adidas.com/us/adilette-sandals/FY8649.html,4 colors,$28,$40,-,WOMEN Yoga
10,Adi2000 Shoes,https://www.adidas.com/us/adi2000-shoes/H03489.html,4 colors,$88,$110,-,WOMEN Originals
