,product_code,n_reviews,quality,star_rating,size,comfort
1113,GX2088,1178,82.6401,4.4,51.2521,76.528
1114,IF7903,4876,89.3355,4.8,52.4825,82.6377
1115,HP3213,41,90.2439,4.5,59.1463,89.0244
1116,HQ6340,1937,89.3134,4.7,49.5999,86.1384
1117,GV9059,45,77.2222,4.1,46.6667,66.6667
1118,HP7654,919,89.6627,4.6,56.1819,88.7255
1119,GX1551,5510,86.2477,4.6,52.1125,83.0638
1120,HP9737,519,92.7746,4.8,47.9769,87.1387
1121,ID7801,162,92.5926,4.8,53.858,81.9444
1122,GY2549,1,100,5.0,50,100
1123,GY1772,845,84.4787,4.5,45.4088,79.4135
1124,GY2568,2,100,5.0,50,100
1125,ID6939,218,83.4862,4.5,49.0826,76.3761
1126,S23852,17,91.1765,4.6,51.4706,92.6471
1127,FZ5964,1178,82.6401,4.4,51.2521,76.528
1128,GY6056,5510,86.2477,4.6,52.1125,83.0638
1129,IF8069,,,,,
1130,IF8068,,,,,
1131,IF2683,754,87.1021,4.6,51.7573,85.7759
1132,IF3901,161,90.6832,4.6,51.5528,87.7329
1133,HQ4512,91,76.0989,4.4,47.5275,76.3736
1134,S23847,17,91.1765,4.6,51.4706,92.6471
1135,IE9380,43,84.8837,4.5,43.0233,75
1136,IE9872,162,92.5926,4.8,53.858,81.9444
1137,GY3319,173,81.2139,4.2,47.1098,71.9653
1138,HQ1508,2435,88.306,4.7,50.0412,81.5226
1139,HP7664,919,89.6627,4.6,56.1819,88.7255
1140,IE4367,269,84.6654,4.5,48.513,79.9257
1141,IF1041,179,86.7318,4.5,50.1397,88.9665
1142,H06183,34,86.7647,4.2,63.2353,64.7059
1143,HR0063,2057,90.1799,4.7,50.073,87.3906
1144,IE5195,162,92.5926,4.8,53.858,81.9444
1145,ID9424,197,82.1066,4.4,56.8528,76.5228
1146,ID5499,29,89.6552,4.2,58.6207,79.3103
1147,IE9379,43,84.8837,4.5,43.0233,75
1148,H06190,624,87.0593,4.6,50.9215,79.4872
1149,HQ2115,30,82.5,4.4,55,79.1667
1150,IF7915,83,93.0723,4.8,52.4096,85.5422
1151,HR1312,1105,88.4163,4.5,49.5701,79.6606
1152,GY7425,140,83.0357,4.7,50.1786,76.4286
1153,ID9422,197,82.1066,4.4,56.8528,76.5228
1154,HP7820,5510,86.2477,4.6,52.1125,83.0638
1155,IE4893,22,93.1818,4.7,52.2727,93.1818
1156,HP7826,5510,86.2477,4.6,52.1125,83.0638
1157,IG3064,625,87.04,4.6,50.96,79.48
1158,FZ6253,2155,90.3016,4.8,50.2671,81.8509
1159,HP7826,5510,86.2477,4.6,52.1125,83.0638
1160,IG3064,625,87.04,4.6,50.96,79.48
1161,FZ6253,2155,90.3016,4.8,50.2671,81.8509
1162,IG3082,4876,89.3355,4.8,52.4825,82.6377
1163,GZ1336,438,92.4658,4.7,48.1735,87.6712
1164,HR1293,34,83.0882,4.5,49.2647,69.1176
1165,FZ6368,28,99.1071,5.0,48.2143,88.3929
1166,HP5522,81,83.9506,4.3,58.642,69.7531
1167,ID5409,47,92.0213,4.9,53.1915,88.8298
1168,HQ4437,734,88.624,4.4,59.9796,76.1921
1169,GW4708,1349,87.8984,4.6,53.8048,82.8879
1170,GW6933,376,90.0931,4.7,49.5346,81.516
1171,H03615,11,70.4545,4.3,59.0909,70.4545
1172,IE7703,166,87.9518,4.5,49.5482,79.2169
1173,HQ8915,14,92.8571,4.9,55.3571,92.8571
1174,HR1081,22,78.4091,4.1,50,68.1818
1175,GZ5173,687,85.6623,4.5,49.0175,81.8413
1176,HQ4313,9,97.2222,4.6,58.3333,94.4444
1177,GZ0038,135,85,4.6,50.1852,80.1852
1178,IF5005,83,84.6386,4.4,52.4096,76.506
1179,GW5442,195,85.3846,4.6,48.3333,81.4103
1180,ID1562,72,95.1389,4.8,47.9167,92.3611
1181,ID9826,83,93.0723,4.8,52.4096,85.5422
1182,FZ5306,423,84.87,4.7,49.8223,80.5095
1183,GX6310,15,90,4.8,60,81.6667
1184,GZ9582,50,92.5,4.9,52.5,89.5
1185,IE1890,47,92.0213,4.9,53.1915,88.8298
1186,HQ1086,195,85.3846,4.6,48.3333,81.4103
1187,IG5280,434,89.977,4.7,47.3958,83.2176
1188,IG5891,296,93.6655,4.8,51.3514,90.5405
1189,IE4556,188,89.2287,4.5,54.5213,81.7819
1190,HQ1348,107,87.3832,4.5,47.8972,80.6075
1191,S29146,512,87.6465,4.6,46.1914,84.5703
1192,GY2565,4876,89.3355,4.8,52.4825,82.6377
1193,GY9820,179,86.7318,4.5,50.1397,88.9665
1194,ID9438,,,,,
1195,ID4658,162,92.5926,4.8,53.858,81.9444
1196,HQ8917,507,72.6824,4.0,47.6824,69.0828
1197,HQ6667,17,76.4706,3.8,55.8824,61.7647
1198,GW2964,507,72.6824,4.0,47.6824,69.0828
1199,IH0027,202,88.8614,4.5,46.9059,81.6832
1200,FZ6367,28,99.1071,5.0,48.2143,88.3929
1201,IF4867,192,86.3281,4.4,48.3073,79.5573
1202,GY7381,65,78.8462,4.4,53.4615,76.1538
1203,IE7704,166,87.9518,4.5,49.5482,79.2169
1204,FZ1557,34,83.8235,4.5,50.7353,78.6765
1205,GY4544,434,84.6198,4.0,46.2209,73.7791
1206,GY7416,78,80.7692,4.4,52.5641,75.9615
1207,GY1681,22,92.0455,4.6,45.4545,79.5455
1208,HQ1352,107,87.3832,4.5,47.8972,80.6075
1209,IE4557,188,89.2287,4.5,54.5213,81.7819
1210,IF3909,161,90.6832,4.6,51.5528,87.7329
1211,GX3133,23,93.4783,4.9,54.3478,80.4348
1212,HP6736,183,85.3825,4.4,51.5027,77.7322
1213,HQ4130,1633,84.3693,4.6,52.6566,83.9527
1214,GV9091,35,90,4.7,54.2857,78.5714
1215,ID5743,52,91.8269,4.8,53.3654,82.6923
1216,Q46252,246,89.4309,4.7,51.3211,85.5691
1217,IE9248,,,,,
1218,GX4487,9,97.2222,4.6,58.3333,94.4444
1219,HP6684,131,85.687,4.5,47.3282,82.2519
