,product_code,n_reviews,quality,star_rating,Size,comfort
446,DC3579-800,49.0,47.03,4.3,53.0,84.0
447,FJ4547-100,55.0,75.0,4.8,50.0,100.0
448,A04955C-101,0.0,,0,,
449,FB9149-400,0.0,,0,,
450,,,,,,
451,DX5550-700,35.0,37.14,4.5,25.0,75.0
452,DV6841-100,44.0,42.76,4.3,46.0,80.0
453,CZ0775-001,70.0,,4.9,,
454,CV0400-400,32.0,45.71,4.9,42.0,92.0
455,DZ4701-600,555.0,47.48,4.6,50.0,91.0
456,,,,,,
457,,,,,,
458,CT0079-400,19.0,50.5,4.5,42.0,59.0
459,DR0675-300,15.0,44.78,3.6,27.0,54.0
460,DO9458-100,57.0,59.0,4.9,34.0,84.0
461,844994-002,462.0,45.07,4.7,49.0,86.0
462,DZ2794-102,,,,,
463,FN0569-900,,,,,
464,DQ4124-106,83.0,36.47,4.3,43.0,64.0
465,943790-100,96.0,37.5,4.6,25.0,50.0
466,FV5914-010,1.0,83.33,5,50.0,100.0
467,CW4440-011,37.0,50.0,4.4,,50.0
468,FD0211-300,3.0,83.33,5,50.0,100.0
469,DD0161-100,32.0,,4.8,,
470,FN7999-001,0.0,,0,,
471,FD0089-101,0.0,,0,,
472,FN6743-900,,,,,
473,DX4220-100,17.0,47.24,3.5,30.0,47.0
474,CT2904-002,37.0,45.87,4.2,34.0,82.0
475,FQ8107-133,0.0,,0,,
476,343881-007,969.0,41.44,4.6,39.0,85.0
477,,,,,,
478,FB2200-001,0.0,,0,,
479,FB7054-600,0.0,,0,,
480,DZ5226-300,4.0,71.0,4.5,25.0,88.0
481,DM9554-900,45.0,70.0,4.8,50.0,90.0
482,FD5088-200,10.0,54.0,4.9,43.0,65.0
483,DO1850-007,18.0,67.5,4.5,60.0,75.0
484,DR0424-001,20.0,64.0,4.4,70.0,92.0
485,HF0004-900,,,,,
486,FB2390-900,,,,,
487,DV9193-001,0.0,,0,,
488,DX3313-100,4.0,75.0,5,50.0,100.0
489,454350-700,408.0,48.9,4.7,49.0,95.0
490,CZ9907-003,75.0,40.89,4.3,39.0,77.0
491,DC8184-001,128.0,41.93,4.6,42.0,83.0
492,DD6958-001,183.0,39.76,4.7,42.0,74.0
493,DV7898-600,4.0,50.0,3.8,25.0,75.0
494,,,,,,
495,FB2239-002,29.0,54.8,4.2,19.0,73.0
496,BQ9138-001,14.0,19.38,3.2,34.0,17.0
497,FQ6873-101,1.0,75.0,3,50.0,100.0
498,DO5047-411,19.0,64.89,4.8,42.0,79.0
499,FJ8893-900,,,,,
500,,,,,,
501,CZ1055-101,707.0,38.94,4.6,47.0,66.0
502,FQ4298-800,4.0,75.33,4.3,38.0,88.0
503,CI1172-601,98.0,64.5,4.6,50.0,79.0
504,FV6079-001,1.0,83.33,5,50.0,100.0
505,806561-400,15.0,69.0,4.7,50.0,88.0
506,859550-200,32.0,45.42,4.6,38.0,92.0
507,FB7076-100,0.0,,0,,
508,AO3108-006,54.0,45.19,4.4,59.0,71.0
509,685131-004,23.0,35.78,4.2,42.0,61.0
510,397690-018,1.0,100.0,4,,100.0
511,DD1391-100,350.0,39.05,4.7,46.0,68.0
512,FJ2596-002,0.0,,0,,
513,FB2392-900,,,,,
514,FN4216-001,0.0,,0,,
515,DZ2540-600,24.0,43.11,4.5,41.0,80.0
516,FZ3597-133,0.0,,0,,
517,FN7196-663,1.0,83.33,5,50.0,100.0
518,HF0004-900,,,,,
519,FN7778-600,4.0,66.67,5,50.0,100.0
520,FJ4923-008,33.0,67.92,5,48.0,80.0
521,DO7433-900,,,,,
522,FQ8899-100,2.0,75.0,5,50.0,75.0
523,FD1146-100,112.0,48.15,4.6,58.0,82.0
524,DV1129-101,26.0,,4.5,,
525,FQ8897-252,1.0,83.33,5,50.0,100.0
526,AA1204-400,13.0,57.5,3.9,37.0,78.0
527,DR9114-100,7.0,59.52,5,50.0,100.0
528,FZ0815-900,,,,,
529,CJ1671-100,1.0,,5,,
530,DN4890-700,6.0,55.56,3.5,75.0,75.0
531,CZ6558-110,25.0,,4.4,,
532,DR6402-900,4.0,44.0,4.5,25.0,63.0
533,FQ8889-100,0.0,,0,,
534,DZ4135-002,20.0,55.67,4,63.0,59.0
535,DO9843-100,134.0,37.83,4.7,45.0,67.0
536,DV7411-400,39.0,49.13,4.5,47.0,85.0
537,DX5048-300,,,,,
538,FD6817-003,8.0,77.33,5,50.0,82.0
539,FQ8337-121,0.0,,0,,
540,BV2078-100,250.0,32.87,4.4,34.0,63.0
