,ShoeName,URL,no_colors,price_reduce,price,Category,Brand,product_code
642,NMD_R1 Shoes,https://www.adidas.com/us/nmd_r1-shoes/GW9475.html,50,120,150,Women's Originals,Adidas,GW9475
643,Cloudfoam Pure Shoes,https://www.adidas.com/us/cloudfoam-pure-shoes/IG7378.html,15,49,75,Women's Essentials,Adidas,IG7378
644,NMD_R1 Shoes,https://www.adidas.com/us/nmd_r1-shoes/IF7816.html,50,48,160,Women's Originals,Adidas,IF7816
645,OZWEEGO Shoes,https://www.adidas.com/us/ozweego-shoes/GY6177.html,3,72,120,Women's Originals,Adidas,GY6177
646,Nebraska Ultraboost 1.0 Shoes,https://www.adidas.com/us/nebraska-ultraboost-1.0-shoes/IG5889.html,17,140,200,WOMEN Sportswear,Adidas,IG5889
647,Retropy E5 Shoes,https://www.adidas.com/us/retropy-e5-shoes/IE7728.html,12,48,135,Women's Originals,Adidas,IE7728
648,Racer TR23 Shoes,https://www.adidas.com/us/racer-tr23-shoes/IF8652.html,11,56,80,Women's Sportswear,Adidas,IF8652
649,Ozelia Shoes,https://www.adidas.com/us/ozelia-shoes/H04268.html,8,44,110,Women's Originals,Adidas,H04268
650,Y-3 Hokori II,https://www.adidas.com/us/y-3-hokori-ii/HR1976.html,,198,330,WOMEN Y-3,Adidas,HR1976
651,Retropy E5 Shoes,https://www.adidas.com/us/retropy-e5-shoes/IE7062.html,12,95,135,Women's Originals,Adidas,IE7062
652,Runfalcon 3 Running Shoes,https://www.adidas.com/us/runfalcon-3-running-shoes/ID2274.html,2,46,65,Women's Running,Adidas,ID2274
653,Y-3 Idoso Boost,https://www.adidas.com/us/y-3-idoso-boost/HQ5970.html,,240,400,WOMEN Y-3,Adidas,HQ5970
654,X_PLRBOOST Shoes,https://www.adidas.com/us/x_plrboost-shoes/HP3143.html,11,72,160,Women's Sportswear,Adidas,HP3143
655,X_PLRPHASE Shoes,https://www.adidas.com/us/x_plrphase-shoes/ID2413.html,7,77,110,Women's Sportswear,Adidas,ID2413
656,Ultraboost 1.0 Shoes,https://www.adidas.com/us/ultraboost-1.0-shoes/HR0061.html,24,120,200,Women's Sportswear,Adidas,HR0061
657,Ultraboost Light Running Shoes,https://www.adidas.com/us/ultraboost-light-running-shoes/HQ6354.html,4,67,190,Women's Running,Adidas,HQ6354
658,NMD_R1 Shoes,https://www.adidas.com/us/nmd_r1-shoes/HP9662.html,50,53,150,Women's Originals,Adidas,HP9662
659,Pureboost 22 Running Shoes,https://www.adidas.com/us/pureboost-22-running-shoes/HQ8576.html,5,56,140,Women's Running,Adidas,HQ8576
660,adidas x Merimekko Ultraboost 1.0 Shoes,https://www.adidas.com/us/adidas-x-merimekko-ultraboost-1.0-shoes/GZ2564.html,,63,210,Women's Sportswear,Adidas,GZ2564
661,Y-3 Hicho,https://www.adidas.com/us/y-3-hicho/HR1944.html,4,120,300,WOMEN Y-3,Adidas,HR1944
662,Cloudfoam Pure Shoes,https://www.adidas.com/us/cloudfoam-pure-shoes/IF5580.html,15,45,75,Women's Essentials,Adidas,IF5580
663,NMD_R1 Shoes,https://www.adidas.com/us/nmd_r1-shoes/IG8336.html,50,45,150,Women's Originals,Adidas,IG8336
664,Ultra 4D Running Shoes,https://www.adidas.com/us/ultra-4d-running-shoes/IG2263.html,7,165,220,WOMEN Running,Adidas,IG2263
