,ShoeName,Category,no_colors,price_reduce,price,product_code
243,Nike Ryz 365 2,Women,3.0,76.97,90.0,CU4874-600
244,Chuck Taylor All Star Lift Platform Canvas,Women,1.0,70.0,70.0,560251F-102
245,Nike Pegasus FlyEase By You,Women,6.0,160.0,160.0,DO7436-900
246,Nike G.T. Cut 2,Women,4.0,127.97,170.0,FQ8706-300
247,Nike Air Alpha Force 88 x Billie,Women,2.0,130.0,130.0,DZ6763-102
248,Nike SB React Leo Premium,Women,1.0,75.97,100.0,FD0268-100
249,Nike Zoom Mamba 6,Women,4.0,120.0,120.0,DR2733-400
250,Nike Impact 4,Women,5.0,65.97,90.0,DM1124-002
251,Nike Air Force 1 Low By You,Women,6.0,135.0,135.0,DZ3638-900
252,Cosmic Unity 3,Women,1.0,127.97,170.0,FV3526-600
253,Nike Air Force 1 Sculpt,Women,3.0,89.97,140.0,DC3590-105
254,Sabrina 1 (Team),Women,4.0,97.97,130.0,FQ3391-010
255,Nike Rival Jump,Women,3.0,75.0,75.0,DR2756-400
256,Nike Offcourt Duo,Women,2.0,38.97,45.0,DC0496-100
257,Nike Air Penny 2,Women,1.0,90.97,180.0,DV1163-100
258,Sabrina 1 By Sabrina,Women,1.0,160.0,160.0,FJ4036-900
259,Nike Air Max Bolt,Women,4.0,80.97,95.0,CU4152-101
260,ISPA Mindbody,Women,3.0,180.0,180.0,DH7546-101
261,Giannis Immortality,Women,2.0,59.97,85.0,CZ4099-400
262,Nike Legend Essential 2,Women,7.0,65.0,65.0,CQ9545-556
263,Jordan Sophia,Women,3.0,85.0,85.0,DO8863-660
264,Nike ACG Lowcate,Women,2.0,115.0,115.0,DM8019-005
265,Nike On Deck,Women,2.0,25.97,30.0,CU3959-004
266,Nike Escape Run 2,Women,1.0,77.97,100.0,DJ9976-100
267,Nike Downshifter 12,Women,8.0,56.97,75.0,DD9294-104
268,Nike Air Max Flyknit Racer,Women,3.0,89.97,160.0,DM9073-700
269,Nike Cosmic Unity 2,Women,5.0,104.97,160.0,DH1537-002
270,Nike DBreak Premium,Women,1.0,96.97,125.0,DR5377-001
271,Nike Air Zoom LJ Elite,Women,1.0,160.0,160.0,CT0079-101
272,Nike Dunk High Unlocked By You,Women,6.0,165.0,165.0,FZ4655-900
273,Nike Air Force 1 Sculpt Unlocked By You,Women,5.0,180.0,180.0,FJ8902-900
274,KD16 (Team),Women,5.0,136.97,160.0,DZ2927-400
275,NikeCourt Air Zoom Vapor 11,Women,5.0,127.97,170.0,DR6965-300
276,"Air Jordan 6 GORE-TEX ""Brown Kelp""",Women,1.0,250.0,250.0,FD1643-300
277,Nike ACG Watercat+,Women,3.0,125.0,125.0,CZ0931-003
278,Nike Air Max Impact 4,Women,1.0,90.0,90.0,FV1699-801
