,n_reviews,size,comfort,quality,star_rating,product_code
468,3.0,50.0,100.0,83.33,5.0,FD0211-300
469,32.0,,,,4.8,DD0161-100
470,0.0,,,,0.0,FN7999-001
471,0.0,,,,0.0,FD0089-101
472,,,,,,FN6743-900
473,17.0,30.0,47.0,47.24,3.5,DX4220-100
474,37.0,34.0,82.0,45.87,4.2,CT2904-002
475,0.0,,,,0.0,FQ8107-133
476,969.0,39.0,85.0,41.44,4.6,343881-007
477,,,,,,
478,0.0,,,,0.0,FB2200-001
479,0.0,,,,0.0,FB7054-600
480,4.0,25.0,88.0,71.0,4.5,DZ5226-300
481,45.0,50.0,90.0,70.0,4.8,DM9554-900
482,10.0,43.0,65.0,54.0,4.9,FD5088-200
483,18.0,60.0,75.0,67.5,4.5,DO1850-007
484,20.0,70.0,92.0,64.0,4.4,DR0424-001
485,,,,,,HF0004-900
486,,,,,,FB2390-900
487,0.0,,,,0.0,DV9193-001
488,4.0,50.0,100.0,75.0,5.0,DX3313-100
489,408.0,49.0,95.0,48.9,4.7,454350-700
490,75.0,39.0,77.0,40.89,4.3,CZ9907-003
491,128.0,42.0,83.0,41.93,4.6,DC8184-001
492,183.0,42.0,74.0,39.76,4.7,DD6958-001
493,4.0,25.0,75.0,50.0,3.8,DV7898-600
494,,,,,,
495,29.0,19.0,73.0,54.8,4.2,FB2239-002
496,14.0,34.0,17.0,19.38,3.2,BQ9138-001
497,1.0,50.0,100.0,75.0,3.0,FQ6873-101
498,19.0,42.0,79.0,64.89,4.8,DO5047-411
499,,,,,,FJ8893-900
500,,,,,,
501,707.0,47.0,66.0,38.94,4.6,CZ1055-101
502,4.0,38.0,88.0,75.33,4.3,FQ4298-800
503,98.0,50.0,79.0,64.5,4.6,CI1172-601
504,1.0,50.0,100.0,83.33,5.0,FV6079-001
505,15.0,50.0,88.0,69.0,4.7,806561-400
506,32.0,38.0,92.0,45.42,4.6,859550-200
507,0.0,,,,0.0,FB7076-100
508,54.0,59.0,71.0,45.19,4.4,AO3108-006
509,23.0,42.0,61.0,35.78,4.2,685131-004
510,1.0,,100.0,100.0,4.0,397690-018
511,350.0,46.0,68.0,39.05,4.7,DD1391-100
512,0.0,,,,0.0,FJ2596-002
513,,,,,,FB2392-900
514,0.0,,,,0.0,FN4216-001
515,24.0,41.0,80.0,43.11,4.5,DZ2540-600
516,0.0,,,,0.0,FZ3597-133
517,1.0,50.0,100.0,83.33,5.0,FN7196-663
518,,,,,,HF0004-900
519,4.0,50.0,100.0,66.67,5.0,FN7778-600
520,33.0,48.0,80.0,67.92,5.0,FJ4923-008
521,,,,,,DO7433-900
522,2.0,50.0,75.0,75.0,5.0,FQ8899-100
523,112.0,58.0,82.0,48.15,4.6,FD1146-100
524,26.0,,,,4.5,DV1129-101
525,1.0,50.0,100.0,83.33,5.0,FQ8897-252
526,13.0,37.0,78.0,57.5,3.9,AA1204-400
527,7.0,50.0,100.0,59.52,5.0,DR9114-100
528,,,,,,FZ0815-900
529,1.0,,,,5.0,CJ1671-100
530,6.0,75.0,75.0,55.56,3.5,DN4890-700
531,25.0,,,,4.4,CZ6558-110
532,4.0,25.0,63.0,44.0,4.5,DR6402-900
533,0.0,,,,0.0,FQ8889-100
534,20.0,63.0,59.0,55.67,4.0,DZ4135-002
535,134.0,45.0,67.0,37.83,4.7,DO9843-100
536,39.0,47.0,85.0,49.13,4.5,DV7411-400
537,,,,,,DX5048-300
538,8.0,50.0,82.0,77.33,5.0,FD6817-003
539,0.0,,,,0.0,FQ8337-121
540,250.0,34.0,63.0,32.87,4.4,BV2078-100
541,4.0,50.0,100.0,66.67,4.8,DZ7260-400
542,10.0,43.0,65.0,54.0,4.9,FD5088-001
543,150.0,50.0,100.0,50.67,4.8,DV2629-005
544,2.0,50.0,75.0,75.0,5.0,FB2372-100
545,,,,,,FB2392-900
546,0.0,,,,0.0,FN0708-400
547,91.0,,,,4.7,DH3050-100
548,58.0,49.0,78.0,73.94,4.7,FN7105-030
549,0.0,,,,0.0,FD6694-001
550,22.0,50.0,100.0,75.0,4.8,AV3918-102
551,,,,,,
552,16.0,50.0,79.0,47.17,4.4,AQ1779-100
553,0.0,,,,0.0,FJ3448-200
